HOUSE NUMBER,,1A,1B,1C,1D,1E,2A,2B,2C,2D,2E,3A,3B,3C,3D,3E,1A,1B,1C,1D,1E,2A,2B,2C,2D,2E,3A,3B,3C,3D,3E
PRODUCT,COST (£),QUANTITY WEEK 3,,,,,,,,,,,,,,,QUANTITY WEEK 4,,,,,,,,,,,,,,
White Bread Organic,£1.75,,1,,1,,,1,,,,2,,,2,,,,,,,,,,2,,1,,,,1
White Bread Cheap,£0.38,,,2,,1,2,1,,,3,,1,,,,,,2,2,1,,,,,1,,2,,,1
White Bread loaf large,£1.00,,,,,,,,1,,,,1,,,1,,1,,2,1,1,2,2,,,,,2,,1
Brown Bread loaf large,£1.20,1,,,,,,,1,,,2,,2,,1,1,1,,,,1,,,,,1,,,,
Bread Sliced White large,£0.60,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
Brown Bread Organic,£1.75,1,1,,,,,,,2,,,,,,,1,,,,,,,,,,,,,2,
Brown Bread Cheap,£0.42,,,,1,1,1,1,,,,,,,,,,,1,,,,,1,,1,1,2,,,
Bread Sliced Brown large,£0.70,,,,1,,,,,,,,,2,,,1,,,,,1,2,,,,,,,,
Skimmed Milk Pint,£0.55,1,1,,1,,1,,,,,,,,,,1,1,,1,1,,,,2,,,,,2,
Full Fat Milk Pint,£0.50,,1,2,,1,,,,2,,,,,,,,,1,1,1,,,1,,1,,,,,
Cheddar Cheese Medium 300g,£2.25,,,,,,,,2,,3,2,1,,,1,1,1,,1,,1,,,,,1,,2,,
Organic Cheddar Cheese 300g,£3.25,2,1,,,,1,,,,,,1,,1,,1,,,,,,1,,2,,,,,3,1
Cheddar Cheese Mature 300g,£2.50,,1,,,,,2,,3,,,1,1,1,,1,,,,,1,,,,1,,2,,,1
Cheap Cheddar Cheese 400g,£1.91,,,1,2,1,,,,,3,,1,,,1,,1,1,1,1,,,2,2,1,,,,,1
Tomatoes Plum Can 500g,£0.85,,,,,,1,,,,,1,,1,,1,,1,,,,,1,,2,1,1,,,,
Tomatoes Fresh Vine 500g,£2.00,1,,,,,,1,,2,,,1,,,,1,1,1,1,,,,1,,1,,1,,,
Organic Tomatoes 500g,£2.49,1,2,,1,,1,,,,,,1,,,1,1,,,,,1,1,,,,,,,2,
Cheap Canned Tomatoes,£0.34,,,1,1,2,,1,,,4,1,,,1,,,,,,1,,,,,,1,,2,,1
Carrots 1Kg,£1.29,,1,,1,,,,,1,,,,1,,,1,,1,1,,,1,,,1,,,,,1
Cheap Carrots 1Kg,£0.42,,,1,,1,1,1,,,,,1,,1,,,1,,,,1,,,1,,,2,,2,2
Organic Carrots 1Kg,£1.75,1,,,,,,,,,,1,,,,1,,,,,1,,2,1,,,1,,,,
Potatoes 600g,£0.92,,,,,,,1,2,,2,,1,,2,,,1,1,1,,1,,,,,,,,,
Organic Potatoes 500g,£1.07,,,,,,1,,,2,,,,,,1,2,,,,1,,1,,1,,2,,,1,3
Cheap Potatoes 1Kg,£0.58,,,1,1,1,,1,,,,1,,1,1,,,,,1,,,,1,,1,,,2,,1
Rice White 500g,£0.90,,,,,,,,,,,,,,,1,,,,,,1,1,,1,,,3,,,2
Rice Brown 500g,£1.22,,2,,1,,1,,,1,,,2,,,,,,,,,,,,,,,,,,
Organic Brown Rice 500g,£1.99,1,,,,,,2,2,,1,,,1,1,1,2,,,1,1,1,,,1,1,,,,1,
Cheap White Rice 1kg,£0.88,,,1,,1,,,,,,2,,,,,,,,,,,1,1,,,2,1,,,
Butter 500g,£1.25,,1,,,,,2,,2,,,,1,,,,1,,1,1,1,,,,1,,,,,2
Organic Butter 500g,£1.99,1,,1,,,2,,1,,,1,2,1,,,1,,,,,,,,1,,,,2,,1
Cheap Butter 500g,£0.82,,,,1,1,,,,,1,1,,,2,1,,,1,,,1,1,,,,,,,1,
Vegeatable Spread 500g,£1.07,,1,,1,,,,1,1,,,,,,,1,1,1,,,,1,1,1,1,1,,,,3
Cheap Spread 500g,£0.48,,,,,,1,,,,,,,,,,,,,1,1,,,1,,,,1,,,
Bacon 300g,£1.75,1,,1,1,,,1,,1,,1,2,1,,2,1,2,1,,,,1,,,,,,,1,
Eggs Free Range Medium 12,£1.22,1,,,1,,,,2,,2,,,,,,1,2,1,,,,,,2,,,1,,,
Cheap Eggs 12,£0.72,,,1,,1,1,,,,,,,,1,1,,,,1,1,,2,2,,,1,,2,1,
Organic Eggs Medium 6,£1.12,,,,,,,,,,,,,,,,1,,1,1,,1,,,,2,,,,,1
Organic Eggs Medium 12,£1.99,,2,,,,,,,2,,,,,,1,,,,,,,,,,,,1,,,
Ham 300g,£2.23,1,,1,,1,2,,1,3,2,,2,1,,,1,,1,1,1,,2,2,,,,,,,
Apples Red pack of 6,£1.54,,,,1,1,,,1,,,,,,,,1,1,,,,,,,,,1,,,,
Apples Green pack of 6,£1.50,,2,,1,,1,1,1,,,,,,1,,,1,1,,1,,1,,,1,,,,1,
Organic Red Apples pack of 4,£1.87,2,,,,,,,,2,,,,,,,1,,1,1,,1,,,,1,,,,,1
Organic Green Apples pack of 4,£1.79,,,,,,,,,,1,1,2,,,,,,,,,,,,1,,,,,,
Cheap Apples Mixed pack of 8,£0.82,,,1,,1,,1,,,1,,,,1,,,,,1,,,,,1,,,1,2,1,
Frozen Peas 800g,£1.37,1,,,1,,1,,,,,,2,,,,1,,1,,1,1,1,,1,,,,,,
Organic Red Onions 300g,£1.29,,,,,,,,1,,,,1,1,1,,1,,,1,,1,,,,,1,,,1,1
Cheap Red onions 300g,£0.29,,,1,,,,,,,,1,,,,2,,,,,1,,,,,,,,,1,
Onions Red 300g,£0.54,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Organic Fresh onions 120g,£0.78,,,,,,1,,1,,,,,,1,,1,,,1,,,,,,,1,2,2,,
Fresh onions 300g,£0.45,1,,,,,,,,,1,,,,,1,,1,,,,1,1,,,,,,,1,
Large Oranges pack of 5,£1.75,1,2,,2,,,1,1,,,,1,1,,,1,,,,,,,,,,,,,,1
Organic Oranges pack of 4,£2.29,1,,,,,1,,1,,,,,,,,1,,,,1,,1,2,,,,,,,
Cheap Organges pack of 5,£0.92,,,,,,,,,3,1,1,,,2,1,,,,2,1,1,1,,,,1,2,,1,
Kiwi Fruit pack of 8,£0.99,,,,,,1,,,,,,,,,,1,1,,2,,,,,,,,,,,
Kiwi Fruit Organic pack of 4,£1.50,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Cheap Kiwi Fruit pack of 8,£0.67,,,,,1,,2,,1,1,,,1,,,,,1,1,,1,,,,,1,,,1,1
Kitchen Roll 200 Sheets,£1.99,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,3,,
Cheap Kitchen Roll 200 Sheets,£0.89,1,2,,,1,1,,,1,1,,,1,,1,1,1,,,1,,,2,,,1,1,,,
Toilet Roll 16 pack,£5.99,1,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,1,
Cheap Toilet Roll 16 pack,£1.99,,,1,1,,1,,,,,,,,,1,,1,,,,,1,1,,1,,,,,1
Cheap Tea Bags 50,£0.49,,,1,,,,1,,,,1,,1,,,,,,,1,1,,1,,1,,,2,,
Tea Bags 50 pack,£1.39,,1,,,1,1,,,,,,,,1,,,,1,,,,,,,,,1,,,
Coffee 100 g,£1.27,1,,1,,1,,,1,2,,,,,,1,,,,1,,,,,,,1,,,,1
Cheap Coffee 200g,£0.69,,,,,1,,1,,,,,,2,,,,,,1,,1,,,,1,,,,1,
